Catalogue No.,Lot Number,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Title,Handwritten Note,Object Type,Object Notes,Inscription,Seller,Transaction,Buyer,Lot Notes,Previous Owner,Previous Sales,Post Owner,Post Sales,Present Location,Sale Date,Expert,Commissaire Pr.,Auction House,Sale Location,Lugt Number,Copyright,Year of Sale,# of instances in year,latitude/longitude,,latitude,longitude
D-8674,48,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Zechende Bauerngesellschaft. In einer Kneipe neben großem Rauchfang links gruppiert sich um einen weißgedeckten Tisch, auf den allerlei Speisen aufgetragen sind, eine buntgekleidete Gesellschaft von Männern, Frauen, Kindern, singend, zechend, karessierend. Hinten ein geigespielender Musikant. Am Boden ein Topf, eine Schale und anderes. Öl auf Eichenholz. H. 53, B. 41.",,Gemälde,"Öl auf Holz, h 53 cm, w 41 cm",,"from catalog: Sammlung A. Revius, Den Haag [oder andere]",,,,,,,,,1927 May 03,,,Lempertz (Math.),"Cologne, Germany",,,1927,6,"50.938361, 6.959974",,50.938361, 6.959974
D-5068,211,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Figurenreiche Bauernkirmes. In großem scheunenartigen Räume mit Rauchfang hinten eine zahlreiche Bauerngesellschaft beim Schmausen, Tanzen und Streiten. Links Zecher an einem Tische, rechts die Musikanten, in der Mitte ein Paar, das den Eiertanz aufführt. Links hinten ist eine wüste Schlägerei und Messerstecherei entstanden. Bezeichnet: Jan molenaer. Öl auf Leinwand. H. 69, B. 89. Profilrahmen. Abb. Tafel 8.",,Gemälde,"Öl auf Leinwand, h 69 cm, w 89 cm",,,,,,,,,,,1927 Mar 23,,,Lempertz (Math.),"Cologne, Germany",,,1927,7,"50.938361, 6.959974",,50.938361, 6.959974
D-5068,212,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Holländische Bauernkinnes. Dorfstraße mit malerischen alten Häusern rechts und links. Vorn rechts vor breitgelagertem Hause tanzende und karessierende Männer und Weiber, auf der hohen Haustreppe Figuren in verschiedenen Situationen. Links bietet ein Theriakverkäufer seine Salben an. Im Hintergrunde andere Gruppen von Bauern und Frauen. Öl auf Eichenholz. H. 78, B. 112. Profilrahmen. Abb. Tafel 3.",,Gemälde,"Öl auf Holz, h 78 cm, w 112 cm",,,,,,,,,,,1927 Mar 23,,,Lempertz (Math.),"Cologne, Germany",,,1927,8,"50.938361, 6.959974",,50.938361, 6.959974
D-5068,213,"MOLENAER, JAN MIENSE (Dutch), zugeschrieben",,,,,"Bauernkneipe. In der Mitte einer Stube Bauer in roter Jacke und Frau in rotem Rock, einen Tanz aufführend zu den Klängen einer Drehleier, die ein danebenstehender Mann spielt. Rechts zechende Personen um einen Tisch. Links vor Kaminfeuer schäkerndes Paar. Öl auf Leinwand. H. 60, B. 79. Gerahmt.",,Gemälde,"Öl auf Leinwand, h 60 cm, w 79 cm",,,,,,,,,,,1927 Mar 23,,,Lempertz (Math.),"Cologne, Germany",,,1927,9,"50.938361, 6.959974",,50.938361, 6.959974
D-3783,787,"MOLENAER, JAN MIENSE (Dutch), zugeschrieben",,,,,"FRÖHLICHE GESELLSCHAFT. Musizierender Bauer, daneben ein tanzendes Paar. Öl. Holz. Höhe 26, Breite 22 cm",,Gemälde,"Öl auf Holz, h 26 cm, w 22 cm",,,,,,,,,,,1927 Feb 24 - 1927 Feb 28 (This Lot: Feb 24),,,Kende (Albert),"Vienna, Austria",,,1927,10,"48.2083537, 16.3725042",,48.2083537, 16.3725042
D-7706,35,"MOLENAER, JAN MIENSE (Dutch), Stil",,,,,"Holländische Schule des 17. Jahrh., in der Richtung des Jan Miense Molenaer (1610-1668 Haarlem). Bordeeltje. Vier Männer mit zwei Frauen in einer Stube. Öl auf Holz. 53:41 cm",,Gemälde,"Öl auf Holz, h 53 cm, w 41 cm",,"from catalog: Sammlung Alexander F., Wien",Ausrufpreis: 900,,,,,,,,1927 Dec 12 - 1927 Dec 14 (This Lot: Dec 12),,,Dorotheum,"Vienna, Austria",,,1927,11,"48.2083537, 16.3725042",,48.2083537, 16.3725042
D-7991,761,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Niederländische Kirmes. Interieur, vielfigürig. Holz, sign. G.-R. 42x46 cm. (Expertise von Herrn Dr. Glück, Wien) Abbildung: Tafel 16",,Gemälde,"auf Holz, h 42 cm, w 46 cm",,"from catalog: Sammlungen L. u. R., Berlin [oder andere]",,,,,,,,,1927 Mar 08 - 1927 Mar  9 (This Lot: Mar  9),,,Hecht (Jacob),"Berlin, Germany",,,1927,12,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-8908,1200,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bäuerliches Gelage. Auf einem freien Dorfplatze stehen und sitzen Bauern mit ihren Frauen schmausend und zechend um einen Tisch, auf dem ein großer Schinken prangt. Rechts, am Flußufer, ein tanzendes Paar, denen ein Dudelsackpfeifer aufspielt. Dahinter eine Windmühle; in der Ferne ein Kirchdorf. Öl auf Holz. 59 : 82. Bezeichnet auf der Bank in der Mitte: J. M. Molenaer. Echtheit unbedingt garantiert!",,Gemälde,"Öl auf Holz, h 59 cm, w 82 cm",,,,,,,,,,,1927 Jun 27 - 1927 Jun 29 (This Lot: Jun 27),,,Prestel,"Frankfurt am Main, Germany",,,1927,13,"50.2164354, 8.6915513",,50.2164354, 8.6915513
D-8873,22,"MOLENAER, JAN MIENSE (Dutch)",,,,,Genreszene. Öl auf Holz. 20x16. Expertise Prof. Dr. L. W. Abels.,,Gemälde,"Öl auf Holz, h 20 cm, w 16 cm",,,,,,,,,,,1927 Jun 21 - 1927 Jun 23 (This Lot: Jun 21),,,von der Porten,"Hanover, Germany",,,1927,14,"52.3744779, 9.7385532",,52.3744779, 9.7385532
D-5748,163,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bauerntanz (links an der Säule sitzend Jan Steen, bezeichnet Jan Steen), Öl auf Leinen, 106 x 79 cm. Holzgeschnitzter Goldrahmen aus der Periode.",,Gemälde,"Öl auf Holz, h 106 cm, w 79 cm",,,,,,,,,,,1927 Nov 26,,,Störi,"Zurich, Switzerland",,,1927,15,"47.3723957, 8.5423216",,47.3723957, 8.5423216
D-5469,106,"MOLENAER, JAN MIENSE (Dutch)",,,,,Der betrunkene Bauer. Ein beleibter Bauer wird unter allgemeiner Heiterkeit in sein Haus geschleppt. Holz. Gr. 46 x 63 cm. G.-R. Abb. Tafel 4,,Gemälde,"auf Holz, h 46 cm, w 63 cm",,,,,,,,,,,1928 May 15,,,Lepke (Rudolph),"Berlin, Germany",,,1928,1,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-5473,89,"MOLENAER, JAN MIENSE (Dutch)",,,,,"DER GEFLÜGELMARKT. Am Dorfrand Bürgerinnen und Bauern mit lebendem und totem Geflügel, rechts Blick in die Landschaft. Holz. Gr. 57 X 73 cm. S. R. Mit Gutachten von Dr. G. Glück. Abbildung Tafel 5",,Gemälde,"auf Holz, h 57 cm, w 73 cm",,,,,,,,,,,1928 Oct 16,,,Lepke (Rudolph),"Berlin, Germany",,,1928,2,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-5473,171,"MOLENAER, JAN MIENSE (Dutch)",,,,,DIE GESELLSCHAFT IM WIRTSHAUS. Ein Bauer hat einem jungen Mädchen zur Belustigung der Gäste den Schuh ausgezogen. Rechts ein Schenktisch. Holz. Gr.63 X 80cm. S. R. Signiert.,,Gemälde,"auf Holz, h 63 cm, w 80 cm",,,,,,,,,,,1928 Oct 16,,,Lepke (Rudolph),"Berlin, Germany",,,1928,3,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-5473,213,"MOLENAER, JAN MIENSE (Dutch)",,,,,"AM WIRTSHAUSTISCH vier Männer singend,  auf dem Tisch Karten und Pfeifen. Holz.   Gr. 21 X 18 cm.   S. R.   Signatur (z.T. zerstört.)",,Gemälde,"auf Holz, h 21 cm, w 18 cm",,,,,,,,,,,1928 Oct 16,,,Lepke (Rudolph),"Berlin, Germany",,,1928,4,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-5471,114,"MOLENAER, JAN MIENSE (Dutch), Schule",,,,,"Desgleichen [Altes Ölgemälde], Jan Miense Molenaer Schule: Holländische Dorfhochzeit. Holz. Gr. 60 X 83 cm. Alter G.-R,",,Gemälde,"auf Holz, h 60 cm, w 83 cm",,,,,,,,,,,1928 Jun 06 - 1928 Jun  8 (This Lot: Jun  6),,,Lepke (Rudolph),"Berlin, Germany",,,1928,5,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-8809,72,"MOLENAER, KLAES (Dutch), und","MOLENAER, JAN MIENSE (Dutch), und",,,,"LÄNDLICHES FEST IN EINEM GROSSEN DORF. Rechts vor einer Häusergruppe eine festlich bewegte Menschenmenge, Blick auf die Dorfstraße mit Bäumen, in der Ferne der Kirchturm, Holz. Gr. 71 X 105 cm. G. R. Signiert. Hauptbild der Meister. Siehe Frimmel, a. a. O. S. 3-6. Abbildung Tafel 16",,Gemälde,"auf Holz, h 71 cm, w 105 cm",,"from catalog: Ritter von Klarwill DR, Wien",,,,,,,,,1928 Apr 17,,,Lepke (Rudolph),"Berlin, Germany",,,1928,6,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-8809,80,"MOLENAER, JAN MIENSE (Dutch)",,,,,"DIE GESELLSCHAFT IM WIRTSHAUS. In einem großen Raum sind zahlreiche Menschen um einen Tisch versammelt, um zu essen und zu trinken. Im Vordergrund ein Mann mit Barett und eine Frau mit einem kleinen Kind. Lwd. Gr. 140 X 150 cm. G. R. Reste einer Signatur. Hauptbild des Meisters. Vermutlich Gegenstück zu dem großen Bilde im Mauritshuis im Haag.   Etwa 1650-1660 gemalt.   Siehe Frimmel a. a. O. S. 2. Abbildung Tafel 11",,Gemälde,"auf Leinwand, h 140 cm, w 150 cm",,"from catalog: Ritter von Klarwill DR, Wien",,,,,,,,,1928 Apr 17,,,Lepke (Rudolph),"Berlin, Germany",,,1928,7,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-7730,337,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Das Wirtshaus. Vor dem alten Strohhaus, mit dem Wirtsschild Dit is de Krön, sitzen Bauern am Tisch und spielen Karten. Rechts ein Geiger und eine Flötenspielerin, vorn ein Mädchen, über einem Fass liegend. In der Bildmitte eine Frau, die ein Kind auf ein niederes Stühlchen setzt. Links ein Schubkarren, ein Korb. Im Hintergrund, vor alten Häusern, Bauersleute. Holzgeschnitzter Rahmen. Leinwand, H. 93, B. 114 cm.",,Gemälde,"auf Leinwand, h 93 cm, w 114 cm",,,,,,,,,,,1928 Aug 23 - 1928 Aug 25 (This Lot: Aug 23),,,Fischer,"Luzern, Switzerland",,,1928,8,"47.0505452, 8.3054682",,47.0505452, 8.3054682
D-5714,68,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Musizierende und tanzende Bauern. Sign.: J. Molenaer. Leinwand, 53 : 74 cm",,Gemälde,"auf Leinwand, h 53 cm, w 74 cm",,,Schätzpreis: 300,,,,,,,,1928 Mar 28 - 1928 Mar 29 (This Lot: Mar 28),,,Schidlof (Leo),"Vienna, Austria",,,1928,9,"48.2083537, 16.3725042",,48.2083537, 16.3725042
D-5714,69,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Das Tischgebet. Sign.: J. Molenaer. Holz, 34 :28 cm",,Gemälde,"auf Holz, h 34 cm, w 28 cm",,,Schätzpreis: 1500,,,,,,,,1928 Mar 28 - 1928 Mar 29 (This Lot: Mar 28),,,Schidlof (Leo),"Vienna, Austria",,,1928,10,"48.2083537, 16.3725042",,48.2083537, 16.3725042
D-8393,443,"MOLENAER, JAN MIENSE (Dutch), zugeschrieben",,,,,"Bauerntanz. In der Schenke tanzt ein Paar, umgeben von Musikanten und zechender Gesellschaft. Lwd. 79 X 106 cm. G. R.",,Gemälde,"auf Leinwand, h 79 cm, w 106 cm",,,,,,,,,,,1928 Feb 16 - 1928 Feb 17 (This Lot: Feb 16),,,Helbing (Hugo),"Munich, Germany",,,1928,11,"48.1371079, 11.5753822",,48.1371079, 11.5753822
D-8391,400,"MOLENAER, JAN MIENSE (Dutch)",,,,,Bauernschenke. Vor dem niedrigen Wirtshaus sitzen um einen Tisch Männer und Weiber. Einige Zuschauer blicken durch das Fenster heraus. Im Vordergrund rechts ein Karren und ein schlafender Hund. Links im Hintergrund Häuser und Bäume. Öl auf Eiche. 37 X 44 cm. G. R. Mit Gutachten von Prof. Hoofstede de Groot. Tafel 11,,Gemälde,"Öl auf Holz, h 37 cm, w 44 cm",,,,,,,,,,,1928 Jan 17 - 1928 Jan 18 (This Lot: Jan 17),,,Helbing (Hugo),"Munich, Germany",,,1928,12,"48.1371079, 11.5753822",,48.1371079, 11.5753822
D-5077,6,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bänkelsänger im Wirtshaus. Die Gaststube wird von links her durch ein hoch angebrachtes Fenster und eine offene Tür erhellt. Vorn sitzt ein Geiger in weißen Hosen, blauem Kittel und roter Mütze geigend auf einer Holzbank. Den linken Fuß legt er auf den Schoß der rechts von ihm sitzenden Sängerin in grünlichem Kleide, weißer Jacke und weißem Kopftuch, die singend ihr Notenpapier in der Rechten hält. Zwischen ihnen, von vorn gesehen, ein junger Sänger. Neben der offenen Tür singt ein lustiger junger Bauer mit, eine Tonpfeife in der Rechten, ein Stengelglas in der Linken schwingend. Ganz links ein kosendes Pärchen. Rechts vergreift sich ein Bursche an einem in die Knie gesunkenen Mädchen. Im Hintergrunde sitzt eine lustige Gesellschaft um einen Tisch herum. Monogrammiert unten in der Mitte am Krug: JM. Öl auf Eichenholz. H. 65,5, B. 103. Abbildung Tafel 5. Provenienz: Sammlung Weber, Hamburg. Versteigerungskatalog 1912, Nr. 237 (alte Nr. 203). Erworben 1875 im Kunsthandel aus Wien. Vormals im Besitz des Freiherrn Ferd. von Rosenzweig. Literatur: v. Pflugk-Harttung im Repertorium f. Kunstwissenschaft 1885, VIII, S. 85. A. v. Wurzbach, Niederländ. Künstlerlexikon. Bd. II, S. 177.",,Gemälde,"Öl auf Holz, h 65,5 cm, w 103 cm",,,,,,,,,,,1928 May 08 - 1928 May  9 (This Lot: May  8),,,Lempertz (Math.),"Cologne, Germany",,,1928,13,"50.938361, 6.959974",,50.938361, 6.959974
D-5077,98,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Der Geiger und die Sänger. Im Vordergrunde einer Bauernkneipe mit Fässern sitzt ein betrunkener junger Bauer mit roter Mütze, die Geige streichend. Drei hinter ihm um einen Tisch gruppierte Männer singen dazu. Bezeichnet: J. Molenaer. Öl auf Eichenholz. H. 29, B. 23.",,Gemälde,"Öl auf Holz, h 29 cm, w 23 cm",,,,,,,,,,,1928 May 08 - 1928 May  9 (This Lot: May  8),,,Lempertz (Math.),"Cologne, Germany",,,1928,14,"50.938361, 6.959974",,50.938361, 6.959974
D-5488,23,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bauernspiel im Freien. Zahlreiche Bauern spielen Hand-Kläpjen; im Hintergrund der Dorfkirchturm. Holz, Größe 43X43X34 cm. G. R. Abbildung Tafel 11 Signiert. Ausstellung Alter Gemälde, Düsseldorf 1886.",,Gemälde,auf Holz,,,,,,,,,,,1929 Dec 03,,,Lepke (Rudolph),"Berlin, Germany",,,1929,1,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-8818,47,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Musizierende Kinder, auf einer Tonne sitzt ein geigender Knabe, links eine Frau mit Flöte, rechts spielt ein kleines Mädchen mit einem Hund. Hinter der Tonne ein kleiner Knabe mit einer Katze. Lwd. Gr. 65X80 cm. G.-R. Katalog Wichmann-Basner Tafel 19.",,Gemälde,"auf Leinwand, h 65 cm, w 80 cm",,,,,,,,,,,1929 Nov 19,,,Lepke (Rudolph),"Berlin, Germany",,,1929,2,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-5486,119,"MOLENAER, JAN MIENSE (Dutch)",,,,,Lustige Bauern beim Schmaus in einem Wirtshaus.   Holz.   Gr. 50x48 cm. G.-R.,,Gemälde,"auf Holz, h 50 cm, w 48 cm",,,,,,,,,,,1929 Oct 29,,,Lepke (Rudolph),"Berlin, Germany",,,1929,3,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-7731,73,"MOLENAER, JAN MIENSE (Dutch), und","MOLENAER, KLAES (Dutch), und",,,,"Unterhaltung vor dem Dorfwirtshaus. Signiert rechts unten. Holz, 62 :86 cm",,Gemälde,"auf Holz, h 62 cm, w 86 cm",,,,,,,,,,,1929 Aug 27 - 1929 Aug 28 (This Lot: Aug 27),,,Fischer; Pro Arte,"Luzern, Switzerland",,,1929,4,"47.0505452, 8.3054682",,47.0505452, 8.3054682
D-7607,320,"MOLENAER, JAN MIENSE (Dutch), Kopie nach",,,,,"Gesellschaftsstück. An einem mit Speisen bedeckten, von Krügen und Fässern umgebenen Tisch eine Anzahl Männer und Frauen bei Geigenspiel, Gesang und Wein. Links vorne ein Violinspieler, rechts eine singende Frau mit einem Weinglas. Bezeichnet zwischen den Beinen des Violinspielers: I. MOLENAER. Sammlung Stroganoff. Holz. Höhe 32 cm, Breite 30 cm.",,Gemälde,"auf Holz, h 32 cm, w 30 cm",,"from catalog: Sammlung Murray, Florenz",,,,,,,,,1929 Nov 06 - 1929 Nov  7 (This Lot: Nov  6),,,Cassirer (Paul); Helbing (Hugo),"Berlin, Germany",,,1929,5,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-5087,1223,"MOLENAER, JAN MIENSE (Dutch), Manier",,,,,"Bauern-Belustigung. In scheunenartigem Räume Gruppen von Bauern, die zu der Weise eines Dudelsackpfeifers und eines Geigers tanzen. Öl auf Leinwand. H. 65, B. 78.",,Gemälde,"Öl auf Leinwand, h 65 cm, w 78 cm",,"from catalog: Konkursmasse Frau Alexander Zoubkoff, Victoria, geborene Prinzessin von Preussen",,,,,,,,,1929 Oct 15 - 1929 Oct 19 (This Lot: Oct 19),,,Lempertz (Math.),"Bonn, Germany",,,1929,6,"50.735851, 7.10066",,50.735851, 7.10066
D-8426,27,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bauernszene. In einer Stube um einen Tisch zechende und rauchende Bauern, in deren Mitte ein Flötenspieler. Rechts sich bückende Frau vor einem Brunnen. Rechts unten bezeichnet: MOLENAER F 1676. Holz. Höhe 55 cm. Breite 68 cm. Schw. R. Abb. Tafel 2.",,Gemälde,"auf Holz, h 55 cm, w 68 cm",,from catalog: Nachlass Baron von Mecklenburg [oder] Sammlung Dr. X [oder] Sammlung W. in D.,,,,,,,,,1929 Nov 27,,,Helbing (Hugo),"Frankfurt am Main, Germany",,,1929,7,"50.2164354, 8.6915513",,50.2164354, 8.6915513
D-5085,168,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Schulstube. In einem warmtonig beleuchteten Raum spielen und randalieren eine Anzahl Knaben und Mädchen. Der Lehrer sitzt rechts in einem Armsessel und unterrichtet einen weinend vor ihm stehenden Knaben, öl auf Eichenholz. H. 35, B. 33.",,Gemälde,"Öl auf Holz, h 35 cm, w 33 cm",,,,,,,,,,,1929 May 02,,,Lempertz (Math.),"Cologne, Germany",,,1929,8,"50.938361, 6.959974",,50.938361, 6.959974
D-9136,259,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Fischhändler am Strand. Ein Mann hat auf einem Faß einen Korb stehen, dem er eine Flunder entnimmt. Neben ihm liebkost ein alter Mann eine Frau. Links am Strand ein Segelboot und eine Gruppe von Männern und Frauen. Öl. Leinwand. H. 66, B. 92 cm. Expertise von Hofstede de Groot aus dem Jahre 1921.",,Gemälde,"Öl auf Leinwand, h 66 cm, w 92 cm",,from catalog: Aus dem Nachlass des Herrn Josef Weiss [oder andere],Ausrufpreis: 1800,,,,,,,,1929 Feb 20 - 1929 Feb 21 (This Lot: Feb 20),,,Wawra (C. J.),"Vienna, Austria",,,1929,9,"48.2083537, 16.3725042",,48.2083537, 16.3725042
D-180,249,"MOLENAER, JAN MIENSE (Dutch), Manier",,,,,"Bauernkirchweih. Rechts vorn Tanz beim Wirtshaus; im Mittelgrund Zecher am Tisch. Links Einräderwagen mit Bauernpaar, dem Wein kredenzt wird. Leinwand 78x120 cm.",,Gemälde,"auf Leinwand, 78 cm x 120 cm",,from catalog: aus Privatbesitz,Unbekannt,,,,,,,,1930 Aug 21 - 1930 Aug 23 (This Lot: Aug 22),,,Fischer; Pro Arte,"Luzern, Switzerland",,,1930,1,"47.0505452, 8.3054682",,47.0505452, 8.3054682
D-151,404,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bauerninterieur. Vorne auf zwei Balken sitzt ein Bauer, die Pfeife rauchend. Rechts hinter ihm stützt einer in rotem Barett sich auf einen Holztisch. Weiter zurück ein Pärchen und ein kleines Kind. Holz. 32X26 cm. G. R. Attest von Prof. Ludw. Abels, Wien.",,Gemälde,"auf Holz, 32 cm x 26 cm",,,Unbekannt,,,,,,,,1930 Jun 05 - 1930 Jun  6 (This Lot: Jun  5),,,Helbing (Hugo),"Munich, Germany",,,1930,2,"48.1371079, 11.5753822",,48.1371079, 11.5753822
D-222,311,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Küchen-Interieur. Warmtonig beleuchteter Küchen-Raum mit am Boden gehäuften Bütten, Kesseln, Töpfen und anderem Geschirr. Rechts reinigt eine Magd einen Topf, links lehnt sich ein Bauer in ein offenes Fenster herein. Öl auf Holz. H. 38, B. 50.",,Gemälde,"auf Holz, 38 cm x 50 cm",,from catalog: Schloss Drachenburg bei Königswinter,Unbekannt,,,,,,,,1930 Oct 16 - 1930 Oct 17 (This Lot: Oct 17),,,Lempertz (Math.),"Cologne, Germany",,,1930,3,"50.938361, 6.959974",,50.938361, 6.959974
D-265,123,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bauerninterieur. Drei Männer und zwei Frauen gruppieren sich, zechend, spielend, karessierend um einen Tisch. Im Hintergrund ein Rauchfang. Rechts oben undeutliche Reste einer Signatur. Öl auf Eichenholz. H. 20, B. 15,5.",,Gemälde,"Öl auf   Holz, 20 cm x 15.5 cm",,"from catalog: vormals Egestorff'schen Sammlung, Hannover",Unbekannt,,,,,,,,1930 Nov 18,,,Lempertz (Math.),"Cologne, Germany",,,1930,4,"50.938361, 6.959974",,50.938361, 6.959974
D-265,124,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bauern-Schlägerei. In einem scheunenartigen Raum wüstes Handgemenge raufender Bauern, untermischt mit Frauen, die die mit Knüppeln, Ofengabeln, Messern Kämpfenden zu trennen suchen. In einer offenen Tür hinten der Kopf eines Kavaliers mit Schlapphut (angeblich das Selbstbildnis des Meisters). Öl auf Eichenholz. H. 57, B. 77.",,Gemälde,"Öl auf   Holz, 57 cm x 77 cm",,"from catalog: vormals Egestorff'schen Sammlung, Hannover",Unbekannt,,,,,,,,1930 Nov 18,,,Lempertz (Math.),"Cologne, Germany",,,1930,5,"50.938361, 6.959974",,50.938361, 6.959974
D-35,301,"MOLENAER, JAN MIENSE (Dutch)",,,,,"ÖLGEMÄLDE. Am Wirtshaustisch; vier Männer singend, auf dem Tisch Karten und Pfeifen. Holz. Gr. 21X18 cm. S. R. Signatur (z. T. zerstört).",,Skulptur,"Holz, 21 cm x 18 cm",,,Unbekannt,,,,,,,,1930 Feb 25,,,Lepke (Rudolph),"Berlin, Germany",,,1930,6,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-72,172,"MOLENAER, JAN MIENSE (Dutch)",,,,,"In der Schenke. Im Vordergrund eine sitzende Frau, die einem Manne Wein kredenzt. Neben ihr ein Hund. Hinter dieser Gruppe noch andere Gäste. Öl. Holz. Signiert. H. 30, B. 37 cm",,Gemälde,"Öl auf Holz, 30 cm x 37 cm",,,"Verkauft, 1800 Österreichische Schilling (JPGM)<br>Schätzpreis: 3000<br>Ausrufpreis: 1500",,,,,,,,1930 Apr 07,,,Wawra (C. J.),"Vienna, Austria",,,1930,7,"48.2083537, 16.3725042",,48.2083537, 16.3725042
D-72,173,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Wirtshausszene. Bei einem Tisch sitzen zwei Bauern, ein dritter hält eine Frau liebkosend umfangen. Öl. Holz. Signiert. H. 22, B. 21.5cm",,Gemälde,"Öl auf Holz, 22 cm x 21.5 cm",,,"Verkauft, 1350 Österreichische Schilling (JPGM)<br>Schätzpreis: 2500<br>Ausrufpreis: 1250",,,,,,,,1930 Apr 07,,,Wawra (C. J.),"Vienna, Austria",,,1930,8,"48.2083537, 16.3725042",,48.2083537, 16.3725042
D-276,204,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Holländisches Bauernwirtshaus. An einem Tisch sitzen drei Personen. Links ein alter Bauer mit rotem Barett, der sich die Pfeife stopft, rechts ein Mann mit roter Weste, den Hut am Kopf, dem Beschauer gegenüber die Wirtin, die, in der Rechten den leeren Krug, mit der Linken gegen die Türe weist. Öl. Holz. Signiert. H. 23, B. 22,5 cm",,Gemälde,"Öl auf Holz, 23 cm x 22",,,"Verkauft, 1200 Österreichische Schilling (Internationale Sammler-Zeitung, Jg. 22, Nr. 24, 15. Dezember 1930, S. 273)",,,,,,,,1930 Nov 24 - 1930 Nov 25 (This Lot: Nov 24),,,Wawra (C. J.),"Vienna, Austria",,,1930,9,"48.2083537, 16.3725042",,48.2083537, 16.3725042
D-309,37,"MOLENAER, JAN MIENSE (Dutch)",,,,,"*Wirtshausszene. Innenraum mit großem Kamin, um den sich Gruppen von rauchenden und zechenden Bauern, teils sitzend, teils stehend, versammelt haben. Im Vordergrund Wirtschaftsgegenstände. Bezeichnet auf dem Hocker links: Molenaer. Holz. Höhe 43 cm, Breite 37,5 cm. Gegenstück zur folgenden Nummer. Abbildung Tafel XV.",,Gemälde,"auf Holz, 43 cm x 37.5 cm",,,Unbekannt,,,,,,,,1930 Dec 11,,,Wertheim,"Berlin, Germany",,,1930,10,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-309,38,"MOLENAER, JAN MIENSE (Dutch)",,,,,"*In der Schule. In einem dunklen Innenraum ein Pult, an dem der Lehrer mit brauner Pelzkappe sitzt, und um den sich die Kinder scharen. Im Hintergrund eine Tür, durch die eine Frau tritt. Bezeichnet links unten: Molenaer. Holz. Höhe 43 cm, Breite 37,5 cm. Gegenstück zur vorhergehenden Nummer. Abbildung Tafel XV.",,Gemälde,"auf Holz, 43 cm x 37.5 cm",,,Unbekannt,,,,,,,,1930 Dec 11,,,Wertheim,"Berlin, Germany",,,1930,11,"52.5170365, 13.3888599",,52.5170365, 13.3888599
D-83,132,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Bauerninterieur. In einem scheunenartigen Räume sitzt am improvisierten Tisch ein junger Mann in braunem Wams, pfeiferauchend nach links gewendet, den Kopf zurückgedreht, einem lachenden jungen Manne mit roter Mütze gegenüber. Etwas weiter hinten karessierendes Paar und ein Kind. Öl auf Eichenholz. H. 32, B. 26. Mit Gutachten von Professor Dr. Ludwig Abels Wien.",,Gemälde,"Öl auf Holz, 32 cm x 26 cm",,from catalog: aus Privatbesitz,"Verkauft, 1050 Reichsmark (Internationale Sammler-Zeitung, Jg. 22, Nr. 9, 1. Mai 1930, S. 106)",,,,,,,,1930 Apr 15,,,Lempertz (Math.),"Cologne, Germany",,,1930,12,"50.938361, 6.959974",,50.938361, 6.959974
